report_id,work_id,category,description,photo_filename,captured_lat,captured_lng,captured_timestamp,timestamp,status
CR-72A42D68,WS/MP334/2024-2025/139896,,On-site check reveals incomplete work and missing materials despite full completion status.,5fc40c76f2_1789744402.jpg,,,,2026-09-18T15:13:22.932839+00:00,submitted
CR-FA6F4C15,WS/MP317/2024-2025/145198,,Stress test report on site inspection,c75561fab6_1789746052.jpg,,,,2026-09-18T15:40:52.694251+00:00,submitted
CR-94AB3179,NON_EXISTENT_WORK_ID_9999,,Reporting on fake project,,,,,2026-09-18T15:40:52.736588+00:00,submitted
CR-7BFC9A62,WS/MP317/2024-2025/145198,,,,,,,2026-09-18T15:40:52.764065+00:00,submitted
CR-6D3FC48E,WS/MP317/2024-2025/145198,,Report with 0-byte photo,fcdb0b587f_1789746052.jpg,,,,2026-09-18T15:40:52.803987+00:00,submitted
CR-2760A18A,WS/MP317/2024-2025/145198,,Stress test report on site inspection,f6254416ff_1789746333.jpg,,,,2026-09-18T15:45:33.434046+00:00,submitted
CR-9A2CAC84,WS/MP317/2024-2025/145198,,Report with 0-byte photo,,,,,2026-09-18T15:45:33.544084+00:00,submitted
CR-3589104A,WS/MP317/2024-2025/145098,,Checklist verification test grievance,,,,,2026-09-18T15:49:06.696715+00:00,submitted
CR-350505DD,WS/MP334/2024-2025/139888,,Final audit verification,,,,,2026-09-20T17:45:41.490636+00:00,submitted
CR-62732B7D,WS/MP18396/2024-2025/145976,infrastructure_quality,Test submission - verifying data storage pipeline works correctly,,18.5204,73.8567,2026-09-22T19:10:00+05:30,2026-09-22T13:41:44.442859+00:00,submitted
CR-F9C1B187,WS/MP661/2024-2025/137790,infrastructure_quality,The road was constructed using sub-standard asphalt and developed deep potholes within two months of completion.,,,,,2026-09-22T13:51:06.479639+00:00,submitted
CR-69441AF8,WS/MP661/2024-2025/137790,infrastructure_quality,The community hall construction work has been completely abandoned for over 6 months with only pillar structures visible.,281dae2061_1790087355.jpg,18.6460696,73.7607004,2026-09-22T14:25:58.252Z,2026-09-22T14:29:15.925395+00:00,submitted
CR-301E89C0,WS/MP661/2024-2025/137790,infrastructure_quality,Field inspection while offline - testing local IndexedDB queuing and auto-upload.,,,,,2026-09-22T16:12:57.486618+00:00,submitted
CR-EF55B71A,WS/MP661/2024-2025/137790,infrastructure_quality,"On-site verification reveals significant structural cracking along the primary foundation beam and missing waterproofing layers, creating urgent water seepage risks.",,18.646,73.7607,2026-09-22T19:00:00Z,2026-09-22T16:40:11.918941+00:00,submitted
CR-3081F382,WS/MP661/2024-2025/137790,infrastructure_quality,On-site field audit inspection shows substantial structural cracking along the load-bearing pillars and unpaved access roads with open drainage trenches posing public danger.,,,,,2026-09-22T16:47:54.348964+00:00,submitted
CR-FEF54291,WS/MP661/2024-2025/137790,infrastructure_quality,On-site field audit inspection shows substantial structural cracking along the load-bearing pillars and unpaved access roads with open drainage trenches posing public danger.,,,,,2026-09-22T17:00:10.806484+00:00,submitted
CR-6CFCD832,WS/MP893/2024-2025/171163,infrastructure_quality,On-site field audit inspection shows substantial structural cracking along the load-bearing pillars and unpaved access roads with open drainage trenches posing public danger.,,18.646,73.7607,2026-09-22T19:00:00Z,2026-09-22T17:01:28.861486+00:00,submitted
CR-FB4171B2,WS/MP334/2024-2025/139888,infrastructure_quality,Integration health check automated grievance report for site structure validation.,,18.5204,73.8567,2026-09-22T17:12:45.488044+00:00,2026-09-22T17:12:58.907107+00:00,submitted
CR-1C884651,WS/MP334/2024-2025/139888,infrastructure_quality,Auditor site verification f138a5: The newly constructed community center shows deep structural foundation fissures and water leakages.,0ee93a42b8_1790097199.jpg,18.5204,73.8567,2026-09-22T17:13:17.564906+00:00,2026-09-22T17:13:19.646460+00:00,submitted
CR-E0C97357,WS/MP334/2024-2025/139888,infrastructure_quality,Integration health check automated grievance report for site structure validation.,,18.5204,73.8567,2026-09-22T17:15:26.877764+00:00,2026-09-22T17:15:40.156470+00:00,submitted
CR-C07E57C2,WS/MP334/2024-2025/139888,infrastructure_quality,Auditor site verification a639f4: The newly constructed community center shows deep structural foundation fissures and water leakages.,b28e29bec9_1790097351.jpg,18.5204,73.8567,2026-09-22T17:15:49.621735+00:00,2026-09-22T17:15:51.680714+00:00,submitted
CR-C2529AB3,WS/MP650/2025-2026/151268,infrastructure_quality,Audit sync test verification 7d433222: Physical inspection of foundation work.,e8948920dc_1790098449.jpg,22.7196,75.8577,2026-09-22T17:34:06.990594+00:00,2026-09-22T17:34:09.100016+00:00,submitted
CR-6761F3DB,WS/MP650/2025-2026/151268,,Concurrency integrity check #3 6138ca,dd021de4d9_1790098553.jpg,22.7196,75.8577,,2026-09-22T17:35:53.633714+00:00,submitted
CR-4CE526F2,WS/MP650/2025-2026/151268,,Concurrency integrity check #2 bed6d3,fd5a3ad152_1790098553.jpg,22.7196,75.8577,,2026-09-22T17:35:53.774012+00:00,submitted
CR-33148130,WS/MP650/2025-2026/151268,,Concurrency integrity check #1 ab4eab,fdff6c6cde_1790098553.jpg,22.7196,75.8577,,2026-09-22T17:35:53.993466+00:00,submitted
CR-34E2EDBC,WS/MP650/2025-2026/151268,infrastructure_quality,Audit sync test verification 14983d93: Physical inspection of foundation work.,a5c6a3fdb2_1790098618.jpg,22.7196,75.8577,2026-09-22T17:36:56.336036+00:00,2026-09-22T17:36:58.417587+00:00,submitted
CR-01D6A9D8,WS/MP650/2025-2026/151268,,Concurrency integrity check #2 9c8541,d8a92f99a4_1790098715.jpg,22.7196,75.8577,,2026-09-22T17:38:35.006581+00:00,submitted
CR-2D7510E3,WS/MP650/2025-2026/151268,,Concurrency integrity check #3 9c082f,055437b515_1790098715.jpg,22.7196,75.8577,,2026-09-22T17:38:35.122987+00:00,submitted
CR-9A3EA4D3,WS/MP650/2025-2026/151268,,Concurrency integrity check #1 da188f,51b33d5404_1790098715.jpg,22.7196,75.8577,,2026-09-22T17:38:35.241809+00:00,submitted
CR-105E050E,WS/MP650/2025-2026/151268,infrastructure_quality,Audit sync test verification 2012b075: Physical inspection of foundation work.,5e6a5c6a80_1790098959.jpg,22.7196,75.8577,2026-09-22T17:42:37.675717+00:00,2026-09-22T17:42:39.797606+00:00,submitted
CR-8FE55605,WS/MP650/2025-2026/151268,,Concurrency integrity check #1 cb9123,36a6aceda9_1790099027.jpg,22.7196,75.8577,,2026-09-22T17:43:47.656028+00:00,submitted
CR-A09462E3,WS/MP650/2025-2026/151268,,Concurrency integrity check #2 16c916,228f9f4266_1790099144.jpg,22.7196,75.8577,,2026-09-22T17:45:44.285199+00:00,submitted
CR-7219962D,WS/MP650/2025-2026/151268,,Concurrency integrity check #3 df2dab,7b2a2ff2d2_1790099144.jpg,22.7196,75.8577,,2026-09-22T17:45:44.353179+00:00,submitted
CR-F9C1123F,WS/MP650/2025-2026/151268,,Concurrency integrity check #1 63b415,331e53cc90_1790099144.jpg,22.7196,75.8577,,2026-09-22T17:45:44.428084+00:00,submitted
CR-FA08DA94,WS/MP650/2025-2026/151268,infrastructure_quality,Audit sync test verification c3a9a9cf: Physical inspection of foundation work.,001aaf1573_1790099221.jpg,22.7196,75.8577,2026-09-22T17:46:59.505792+00:00,2026-09-22T17:47:01.615441+00:00,submitted
CR-F637AD22,WS/MP650/2025-2026/151268,,Concurrency integrity check #2 e526f3,81d17d7bdb_1790099289.jpg,22.7196,75.8577,,2026-09-22T17:48:09.627601+00:00,submitted
CR-8F3CF571,WS/MP650/2025-2026/151268,,Concurrency integrity check #3 b6ce73,9b24cf5fb1_1790099289.jpg,22.7196,75.8577,,2026-09-22T17:48:09.713069+00:00,submitted
CR-26F92481,WS/MP650/2025-2026/151268,,Concurrency integrity check #1 cbbb40,a767a5e1a7_1790099289.jpg,22.7196,75.8577,,2026-09-22T17:48:09.795524+00:00,submitted
CR-0CC0752F,WS/MP317/2024-2025/145198,Quality Defect,Vigilance inspection: Verified foundation is incomplete with deep gravel trenches.,a8f36b627c_1790183374.png,18.5204,73.8567,,2026-09-23T17:09:34.678814+00:00,submitted
CR-071D9B3E,WS/MP317/2024-2025/145198,Quality Defect,Vigilance inspection: Verified foundation is incomplete with deep gravel trenches.,7d4b73462b_1790184000.png,18.5204,73.8567,,2026-09-23T17:20:01.867591+00:00,submitted
CR-542C4EC5,WS/MP317/2024-2025/145198,Quality Defect,Vigilance inspection: Verified foundation is incomplete with deep gravel trenches.,871974cbbc_1790185035.png,18.5204,73.8567,,2026-09-23T17:37:20.993344+00:00,submitted
