report_id,work_id,confidence_score,location_check,visual_check,text_check,duplicate_check,metadata_check,ai_recommendation,ai_reasoning,verified_at
CR-EF55B71A,WS/MP661/2024-2025/137790,17,MISMATCH,UNVERIFIED,SPAM,DUPLICATE,UNVERIFIED,REJECT,Low verification confidence (17/100). Significant inconsistencies detected: GPS location is 239.1 km away from registered project site; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T16:40:11.968198+00:00
CR-3081F382,WS/MP661/2024-2025/137790,32,UNVERIFIED,UNVERIFIED,SPAM,DUPLICATE,UNVERIFIED,REJECT,Low verification confidence (32/100). Significant inconsistencies detected: No GPS coordinates were captured at the time of reporting; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T16:47:54.410606+00:00
CR-FEF54291,WS/MP661/2024-2025/137790,32,UNVERIFIED,UNVERIFIED,SPAM,DUPLICATE,UNVERIFIED,REJECT,Low verification confidence (32/100). Significant inconsistencies detected: No GPS coordinates were captured at the time of reporting; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T17:00:10.839033+00:00
CR-6CFCD832,WS/MP893/2024-2025/171163,17,MISMATCH,UNVERIFIED,SPAM,DUPLICATE,UNVERIFIED,REJECT,Low verification confidence (17/100). Significant inconsistencies detected: GPS location is 1541.5 km away from registered project site; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T17:01:28.881669+00:00
CR-FB4171B2,WS/MP334/2024-2025/139888,17,MISMATCH,UNVERIFIED,SPAM,DUPLICATE,UNVERIFIED,REJECT,Low verification confidence (17/100). Significant inconsistencies detected: GPS location is 1433.9 km away from registered project site; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T17:12:58.978406+00:00
CR-1C884651,WS/MP334/2024-2025/139888,22,MISMATCH,UNVERIFIED,SPAM,DUPLICATE,FRESH,REJECT,Low verification confidence (22/100). Significant inconsistencies detected: GPS location is 1433.9 km away from registered project site; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T17:13:19.744188+00:00
CR-E0C97357,WS/MP334/2024-2025/139888,17,MISMATCH,UNVERIFIED,SPAM,DUPLICATE,UNVERIFIED,REJECT,Low verification confidence (17/100). Significant inconsistencies detected: GPS location is 1433.9 km away from registered project site; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T17:15:40.176376+00:00
CR-C07E57C2,WS/MP334/2024-2025/139888,12,MISMATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (12/100). Significant inconsistencies detected: GPS location is 1433.9 km away from registered project site; Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:15:51.717662+00:00
CR-C2529AB3,WS/MP650/2025-2026/151268,52,MATCH,UNVERIFIED,SPAM,DUPLICATE,FRESH,REVIEW,"Verification confidence is moderate (52/100). GPS location matches project site (0m away, within 200m tolerance). Detailed officer inspection required before scoring adjustment.",2026-09-22T17:34:09.170796+00:00
CR-6761F3DB,WS/MP650/2025-2026/151268,47,MATCH,UNVERIFIED,SPAM,DUPLICATE,OLD,REJECT,Low verification confidence (47/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days Advisory rejection recommended for officer review.,2026-09-22T17:35:53.698215+00:00
CR-4CE526F2,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:35:53.856905+00:00
CR-33148130,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:35:54.330026+00:00
CR-34E2EDBC,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:36:58.450035+00:00
CR-01D6A9D8,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:38:35.071746+00:00
CR-2D7510E3,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:38:35.192460+00:00
CR-9A3EA4D3,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:38:35.312906+00:00
CR-105E050E,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:42:39.823722+00:00
CR-8FE55605,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:43:47.695091+00:00
CR-A09462E3,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:45:44.324106+00:00
CR-7219962D,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:45:44.400301+00:00
CR-F9C1123F,WS/MP650/2025-2026/151268,30,MATCH,UNVERIFIED,SPAM,DUPLICATE,REUSED,REJECT,Low verification confidence (30/100). Significant inconsistencies detected: Description flagged: Identical grievance description was submitted multiple times within 24 hours.; Identical complaint description was already submitted in the last 7 days; Photo has been previously submitted in another complaint Advisory rejection recommended for officer review.,2026-09-22T17:45:44.484888+00:00
