feedback_id,work_id,verdict,officer_notes,officer_id,timestamp
FB-59BEF4B9,WS/MP317/2024-2025/145098,false_positive,Verified legitimate bulk library book procurement approved by State Council.,AUDITOR-VAS-01,2026-09-18T15:38:01.398572+00:00
FB-88740D0E,WS/MP334/2024-2025/139896,confirmed_issue,Physical verification confirmed incomplete works and missing materials. Dispatching vigilance team.,AUDITOR-GIR-02,2026-09-18T15:38:25.515347+00:00
FB-66A23E3B,WS/MP317/2024-2025/145198,false_positive,Stress test FP,AUDITOR-DEFAULT,2026-09-18T15:41:15.035269+00:00
FB-6A519D52,WS/MP317/2024-2025/145198,confirmed_issue,Stress test CI,AUDITOR-DEFAULT,2026-09-18T15:41:15.102723+00:00
FB-5516E27B,NON_EXISTENT_WORK_ID_9999,false_positive,,AUDITOR-DEFAULT,2026-09-18T15:41:15.133973+00:00
FB-39B38033,WS/MP317/2024-2025/145198,false_positive,Stress test FP,AUDITOR-DEFAULT,2026-09-18T15:45:54.346331+00:00
FB-45451CA4,WS/MP317/2024-2025/145198,confirmed_issue,Stress test CI,AUDITOR-DEFAULT,2026-09-18T15:45:54.425098+00:00
FB-AC5A11AD,WS/MP317/2024-2025/145198,false_positive,Checklist test false positive,AUDITOR-DEFAULT,2026-09-18T15:49:32.442017+00:00
FB-79A8673F,WS/MP334/2024-2025/139888,confirmed_issue,Integration health check officer verdict confirmation.,AUDIT-INTEG-BOT,2026-09-22T17:13:01.109484+00:00
FB-5D2E17A3,WS/MP334/2024-2025/139888,false_positive,Downweighting test false positive,AUDIT-INTEG-BOT,2026-09-22T17:14:38.146164+00:00
FB-FD9A59DE,WS/MP334/2024-2025/139888,confirmed_issue,Integration health check officer verdict confirmation.,AUDIT-INTEG-BOT,2026-09-22T17:15:42.257648+00:00
FB-64FA7BDE,WS/MP334/2024-2025/139888,false_positive,Downweighting test false positive,AUDIT-INTEG-BOT,2026-09-22T17:16:10.510925+00:00
FB-7B972C15,WS/MP317/2024-2025/145198,confirmed_issue,Randomized target dynamic feedback verification,DYNAMIC-BOT,2026-09-22T17:35:10.850325+00:00
FB-D31A5078,WS/MP317/2024-2025/145098,confirmed_issue,Randomized target dynamic feedback verification,DYNAMIC-BOT,2026-09-22T17:37:55.409321+00:00
FB-6313131C,WS/MP317/2024-2025/145198,confirmed_issue,Randomized target dynamic feedback verification,DYNAMIC-BOT,2026-09-22T17:43:33.399222+00:00
FB-9128B68A,WS/MP317/2024-2025/145098,confirmed_issue,Randomized target dynamic feedback verification,DYNAMIC-BOT,2026-09-22T17:45:31.710409+00:00
FB-6D8481A8,WS/MP334/2024-2025/139896,confirmed_issue,Randomized target dynamic feedback verification,DYNAMIC-BOT,2026-09-22T17:47:55.235729+00:00
FB-0D5810C3,WS/MP317/2024-2025/145098,false_positive,Verification test FP,AUDITOR-DEFAULT,2026-09-23T08:24:24.637368+00:00
FB-E3798A72,WS/MP317/2024-2025/145198,confirmed_issue,Ground verification confirms civil structure delayed beyond sanction deadline.,AUD-TEST-OFFICER,2026-09-23T17:09:38.059992+00:00
FB-FBF7CE45,WS/MP317/2024-2025/145198,confirmed_issue,Ground verification confirms civil structure delayed beyond sanction deadline.,AUD-TEST-OFFICER,2026-09-23T17:20:05.624939+00:00
FB-DC9A27B6,WS/MP317/2024-2025/145198,confirmed_issue,Ground verification confirms civil structure delayed beyond sanction deadline.,AUD-TEST-OFFICER,2026-09-23T17:37:26.283046+00:00
